TRO  TCB  3.30
TRO  TCG  3.30
TRO  TOG  2.60
TRO  VH   0.00
TRO  VN   2.76
TRO  VCA  3.30
TRO  VC   3.03
TRO  VO   3.05
TRO  VCB  3.30
TRO  VCG1 3.30
TRO  WH   0.00
TRO  WN   2.76
TRO  WCA  3.30
TRO  WC   3.03
TRO  WO   3.05
TRO  WCB  3.30
TRO  WCG  3.03
TRO  WCD1 3.18
TRO  WCD2 3.03
TRO  WCE2 3.03
TRO  WCE3 3.18
TRO  WNE  2.76
TRO  WHE  0.00
TRO  WCZ2 3.18
TRO  WCZ3 3.18
TRO  WCH2 3.18
TRO  YH   0.00
TRO  YN   2.76
TRO  YCA  3.30
TRO  YC   3.03
TRO  YO   3.05
TRO  YCB  3.30
TRO  YCG  3.03
TRO  YCD  3.18
TRO  YCE  3.18
TRO  YCZ  3.03
TRO  YOH  2.60
AH   AH   0.00
AH   AN   0.00
AH   ACA  0.00
AH   AC   0.00
AH   AO   0.00
AH   ACB  0.00
AH   CH   0.00
AH   CN   0.00
AH   CCA  0.00
AH   CC   0.00
AH   CO   0.00
AH   CCB  0.00
AH   CSG  0.00
AH   DH   0.00
AH   DN   0.00
AH   DCA  0.00
AH   DC   0.00
AH   DO   0.00
AH   DCB  0.00
AH   DCG  0.00
AH   DOD  0.00
AH   EH   0.00
AH   EN   0.00
AH   ECA  0.00
AH   EC   0.00
AH   EO   0.00
AH   ECB  0.00
AH   ECG  0.00
AH   ECD  0.00
AH   EOE  0.00
AH   FH   0.00
AH   FN   0.00
AH   FCA  0.00
AH   FC   0.00
AH   FO   0.00
AH   FCB  0.00
AH   FCG  0.00
AH   FCD  0.00
AH   FCE  0.00
AH   FCZ  0.00
AH   GH   0.00
AH   GN   0.00
AH   GCA  0.00
AH   GC   0.00
AH   GO   0.00
AH   HH   0.00
AH   HN   0.00
AH   HCA  0.00
AH   HC   0.00
AH   HO   0.00
AH   HCB  0.00
AH   HCG  0.00
AH   HCD  0.00
AH   HND  0.00
AH   HHD  0.00
AH   HCE  0.00
AH   HNE  0.00
AH   IH   0.00
AH   IN   0.00
AH   ICA  0.00
AH   IC   0.00
AH   IO   0.00
AH   ICB  0.00
AH   ICG1 0.00
AH   ICG2 0.00
AH   ICD  0.00
AH   KH   0.00
AH   KN   0.00
AH   KCA  0.00
AH   KC   0.00
AH   KO   0.00
AH   KCB  0.00
AH   KCG  0.00
AH   KCD  0.00
AH   KCE  0.00
AH   KNZ  0.00
AH   LH   0.00
AH   LN   0.00
AH   LCA  0.00
AH   LC   0.00
AH   LO   0.00
AH   LCB  0.00
AH   LCG  0.00
AH   LCD1 0.00
AH   MH   0.00
AH   MN   0.00
AH   MCA  0.00
AH   MC   0.00
AH   MO   0.00
AH   MCB  0.00
AH   MCG  0.00
AH   MSD  0.00
AH   MCE  0.00
AH   NH   0.00
AH   NN   0.00
AH   NCA  0.00
AH   NC   0.00
AH   NO   0.00
AH   NCB  0.00
AH   NCG  0.00
AH   NOD  0.00
AH   NND  0.00
AH   NHD1 0.00
AH   NHD2 0.00
AH   PN   0.00
AH   PCA  0.00
AH   PC   0.00
AH   PO   0.00
AH   PCB  0.00
AH   PCG  0.00
AH   PCD  0.00
AH   QH   0.00
AH   QN   0.00
AH   QCA  0.00
AH   QC   0.00
AH   QO   0.00
AH   QCB  0.00
AH   QCG  0.00
AH   QCD  0.00
AH   QOE  0.00
AH   QNE  0.00
AH   QHE1 0.00
AH   QHE2 0.00
AH   RH   0.00
AH   RN   0.00
AH   RCA  0.00
AH   RC   0.00
AH   RO   0.00
AH   RCB  0.00
AH   RCG  0.00
AH   RCD  0.00
AH   RNE  0.00
AH   RCZ  0.00
AH   RNH  0.00
AH   SH   0.00
AH   SN   0.00
AH   SCA  0.00
AH   SC   0.00
AH   SO   0.00
AH   SCB  0.00
AH   SOG  0.00
AH   TH   0.00
AH   TN   0.00
AH   TCA  0.00
AH   TC   0.00
AH   TO   0.00
AH   TCB  0.00
AH   TCG  0.00
AH   TOG  0.00
AH   VH   0.00
AH   VN   0.00
AH   VCA  0.00
AH   VC   0.00
AH   VO   0.00
AH   VCB  0.00
AH   VCG1 0.00
AH   WH   0.00
AH   WN   0.00
AH   WCA  0.00
AH   WC   0.00
AH   WO   0.00
AH   WCB  0.00
AH   WCG  0.00
AH   WCD1 0.00
AH   WCD2 0.00
AH   WCE2 0.00
AH   WCE3 0.00
AH   WNE  0.00
AH   WHE  0.00
AH   WCZ2 0.00
AH   WCZ3 0.00
AH   WCH2 0.00
AH   YH   0.00
AH   YN   0.00
AH   YCA  0.00
AH   YC   0.00
AH   YO   0.00
AH   YCB  0.00
AH   YCG  0.00
AH   YCD  0.00
AH   YCE  0.00
AH   YCZ  0.00
AH   YOH  0.00
AN   AN   2.96
AN   ACA  3.52
AN   AC   3.25
AN   AO   2.76
AN   ACB  3.52
AN   CH   0.00
AN   CN   2.96
AN   CCA  3.52
AN   CC   3.25
AN   CO   2.76
AN   CCB  3.52
AN   CSG  3.41
AN   DH   0.00
AN   DN   2.96
AN   DCA  3.52
AN   DC   3.25
AN   DO   2.76
AN   DCB  3.52
AN   DCG  3.25
AN   DOD  2.76
AN   EH   0.00
AN   EN   2.96
AN   ECA  3.52
AN   EC   3.25
AN   EO   2.76
AN   ECB  3.52
AN   ECG  3.52
AN   ECD  3.25
AN   EOE  2.76
AN   FH   0.00
AN   FN   2.96
AN   FCA  3.52
AN   FC   3.25
AN   FO   2.76
AN   FCB  3.52
AN   FCG  3.25
AN   FCD  3.40
AN   FCE  3.40
AN   FCZ  3.40
AN   GH   0.00
AN   GN   2.96
AN   GCA  3.52
AN   GC   3.25
AN   GO   2.76
AN   HH   0.00
AN   HN   2.96
AN   HCA  3.52
AN   HC   3.25
AN   HO   2.76
AN   HCB  3.52
AN   HCG  3.25
AN   HCD  3.40
AN   HND  2.96
AN   HHD  0.00
AN   HCE  3.40
AN   HNE  2.96
AN   IH   0.00
AN   IN   2.96
AN   ICA  3.52
AN   IC   3.25
AN   IO   2.76
AN   ICB  3.52
AN   ICG1 3.52
AN   ICG2 3.52
AN   ICD  3.52
AN   KH   0.00
AN   KN   2.96
AN   KCA  3.52
AN   KC   3.25
AN   KO   2.76
AN   KCB  3.52
AN   KCG  3.52
AN   KCD  3.52
AN   KCE  3.52
AN   KNZ  3.00
AN   LH   0.00
AN   LN   2.96
AN   LCA  3.52
AN   LC   3.25
AN   LO   2.76
AN   LCB  3.52
AN   LCG  3.52
AN   LCD1 3.52
AN   MH   0.00
AN   MN   2.96
AN   MCA  3.52
AN   MC   3.25
AN   MO   2.76
AN   MCB  3.52
AN   MCG  3.52
AN   MSD  3.41
AN   MCE  3.52
AN   NH   0.00
AN   NN   2.96
AN   NCA  3.52
AN   NC   3.25
AN   NO   2.76
AN   NCB  3.52
AN   NCG  3.25
AN   NOD  2.76
AN   NND  2.85
