 FCG  0.000000000000000 0.005562824207470 -0.022251296829881 -0.517511789655314 3.290720269796887 4.000000000000000 -0.001026327181329 0.044502593659761 -0.428506602335791 1.220673111175632 8.000000000000000 -0.002827995460605 0.032186667483816 -0.121749557761483 0.153003260783606 12.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 16.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 24.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 28.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 FCD  0.000000000000000 0.006552275598418 -0.026209102393673 -0.378306868163806 3.045075191140385 4.000000000000000 -0.007598521089132 0.052418204787346 -0.273470458589115 1.531847718485161 8.000000000000000 0.011020129558888 -0.038764048282239 -0.218853832568689 0.790351811021779 12.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 16.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 24.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 28.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 FCE  0.000000000000000 0.006589902032652 -0.026359608130609 -0.326917452945075 2.799223356968727 4.000000000000000 -0.007123200928847 0.052719216261218 -0.221479020422639 1.491553545188429 8.000000000000000 0.005268457618401 -0.032759194884951 -0.141638934917572 0.993260064231124 12.000000000000000 -0.001934830082769 0.030462296535858 -0.150826528313943 0.239738493979269 16.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 24.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 28.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 32.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 FCZ  0.000000000000000 0.006972621077380 -0.027890484309520 -0.357973414632394 3.094716872381815 4.000000000000000 -0.006354397560331 0.055780968619040 -0.246411477394314 1.662823213852239 8.000000000000000 0.001607959402647 -0.020471802104928 -0.105174811337867 1.162991358318458 12.000000000000000 0.004191197729908 -0.001176289273166 -0.191767176850244 0.517652681057537 16.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 24.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 28.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 32.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 GH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 GN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 GCA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 GC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 GO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HCA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 HCB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
