ECG  0.000000000000000 0.001035524836619 -0.003106574509857 -0.0910644217 0.373901997085099 3.000000000000000 0.004741008503480 0.006213149019714 -0.0817446981 0.100708732134536 5.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
ECD  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
EOE  0.000000000000000 -0.087113852847987 0.392012337815942 0.0000000000 0.000000000000000 3.000000000000000 -0.000267397295243 0.035322692834540 0.0000000000 1.176037013447826 5.000000000000000 -0.001940927342405 0.033718309063082 0.1380820038 1.315188606424042 7.000000000000000 -0.000188814965686 0.022072745008652 0.2496641119 1.710698431527618 9.000000000000000 -0.005499662502543 0.020939855214534 0.3356893124 2.296807115714157 11.000000000000000 0.002920358489045 -0.012058119800723 0.3534527832 3.007947861322115 13.000000000000000 -0.001154769466368 0.005464031133547 0.3402646059 3.689983816456989 15.000000000000000 0.000309816198294 -0.001464585664662 0.3482634968 4.383130997016935 17.000000000000000 -0.000084495326807 0.000394311525101 0.3461229485 5.076278177576881 19.000000000000000 0.000028165108936 -0.000112660435743 0.3466862507 5.769425358136826 21.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.462572538696771 10000.000000000000000
FH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FN   0.000000000000000 -0.148886435429952 0.669988959434786 0.0000000000 0.000000000000000 3.000000000000000 -0.008908198855475 0.031039864015584 0.0000000000 2.009966878304357 5.000000000000000 0.013501130261791 -0.022409329117267 0.0172610698 2.062860743522893 7.000000000000000 -0.012549107512493 0.058597452453482 0.0896373165 2.115754608741428 9.000000000000000 0.025000105816514 -0.016697192621476 0.1734378361 2.429026191393544 11.000000000000000 -0.039476669618652 0.133303442277608 0.4066503354 2.909113939705906 13.000000000000000 0.021885668004157 -0.103556575434303 0.4661440691 3.939815022757804 15.000000000000000 -0.005871764586481 0.027757432590638 0.3145457834 4.632962203317749 17.000000000000000 0.001601390341768 -0.007473154928249 0.3551143388 5.326109383877695 19.000000000000000 -0.000533796780589 0.002135187122357 0.3444384032 6.019256564437640 21.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.712403744997586 10000.000000000000000
FCA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FO   0.000000000000000 -0.170013095372083 0.765058929174374 0.0000000000 0.000000000000000 3.000000000000000 -0.005060118385961 0.025220084058258 0.0000000000 2.295176787523122 5.000000000000000 0.000080507871546 -0.005140626257507 0.0401589156 2.355576176668467 7.000000000000000 0.002941391056018 -0.004657579028230 0.0205625050 2.415975565813812 9.000000000000000 0.003768528535172 0.012990767307879 0.0372288816 2.462001388209094 11.000000000000000 -0.011862376543660 0.035601938518909 0.1344142932 2.618570448900634 13.000000000000000 0.015374612780688 -0.035572320743050 0.1344735288 2.934907777112791 15.000000000000000 -0.006458584332722 0.056675355941078 0.1766795992 3.184562453975333 17.000000000000000 -0.003788030142962 0.017923849944747 0.3258780110 3.712954401459223 19.000000000000000 0.001016300770063 -0.004804330913025 0.3521170490 4.406101582019168 21.000000000000000 -0.000277172937290 0.001293473707353 0.3450953346 5.099248762579113 23.000000000000000 0.000092390979097 -0.000369563916387 0.3469431542 5.792395943139058 25.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.485543123699004 10000.000000000000000
FCB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FCG  0.000000000000000 0.003240471725655 -0.009721415176965 -0.3750463477 2.910771578402091 3.000000000000000 -0.000025218253727 0.019442830353930 -0.3458821021 1.785632535400552 5.000000000000000 -0.005685384261780 0.019291520831565 -0.2684133998 1.171437906513885 7.000000000000000 0.011146896237598 -0.014820784739112 -0.2594719276 0.666294116215326 9.000000000000000 -0.001937504921689 0.052060592686479 -0.1849923117 0.177242291998896 11.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FCD  0.000000000000000 0.001030890448999 -0.003092671346996 -0.2615071514 2.526715811219616 3.000000000000000 0.003883299899447 0.006185342693992 -0.2522291374 1.742194356976584 5.000000000000000 -0.007764210969137 0.029485142090675 -0.1808881678 1.293543852201418 7.000000000000000 0.002137250724208 -0.017100123724147 -0.1561181311 0.987594397202975 9.000000000000000 0.002639594323135 -0.004276619378899 -0.1988716173 0.624055645958119 11.000000000000000 0.011504931389615 0.011560946559912 -0.1843029629 0.230322688473491 13.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FCE  0.000000000000000 -0.000615146938749 0.001845440816246 -0.1576825905 2.102347907888743 3.000000000000000 0.003501440064137 -0.003690881632492 -0.1632189130 1.629300136261779 5.000000000000000 -0.005525099429758 0.017317758752328 -0.1359651588 1.316110304262786 7.000000000000000 0.005204989081431 -0.015832837826221 -0.1329953169 1.069250226331260 9.000000000000000 -0.003548940417417 0.015397096662363 -0.1338667992 0.781568153879479 11.000000000000000 -0.003164039722862 -0.005896545842137 -0.1148656976 0.547031418735827 13.000000000000000 0.022995291195547 -0.024880784179310 -0.1764203576 0.268401522411515 15.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
FCZ  0.000000000000000 0.000129432394633 -0.000388297183898 -0.1905306597 2.324040027995305 3.000000000000000 0.004167369032528 0.000776594367795 -0.1893657681 1.752448049013167 5.000000000000000 -0.007323018438377 0.025780808562964 -0.1362509622 1.410161842526534 7.000000000000000 0.009528260417064 -0.018157302067296 -0.1210039493 1.182199004776375 9.000000000000000 -0.015994683203571 0.039012260435089 -0.0792940325 0.943787981331377 11.000000000000000 0.014598305640388 -0.056955838786338 -0.1151811892 0.813291492402009 13.000000000000000 -0.007476205070361 0.030633995055987 -0.1678248767 0.471892203933604 15.000000000000000 0.015991358230739 -0.014223235366176 -0.1350033573 0.198968790227111 17.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
GH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
GN   0.000000000000000 -0.133481572449507 0.600667076022782 0.0000000000 0.000000000000000 3.000000000000000 -0.005449219100148 0.034608980674880 0.0000000000 1.802001228068345 5.000000000000000 0.003959807167075 0.001913666073990 0.0730452935 1.896843397966679 7.000000000000000 -0.002964720830963 0.025672509076442 0.1282176438 2.082267106594721 9.000000000000000 0.000733267924640 0.007884184090664 0.1953310301 2.417674663849991 11.000000000000000 -0.001799263591116 0.012283791638504 0.2356669816 2.845739603875397 13.000000000000000 0.003998947527903 0.001488210091810 0.2632109851 3.351814624882790 15.000000000000000 -0.005385348998084 0.025481895259228 0.3171511958 3.916181015576810 17.000000000000000 0.001444849731193 -0.006830198729278 0.3544545888 4.609328196136755 19.000000000000000 -0.000394049926689 0.001838899657882 0.3444719907 5.302475376696700 21.000000000000000 0.000131349975563 -0.000525399902252 0.3470989902 5.995622557256645 23.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.688769737816591 10000.000000000000000
GCA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
GC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
GO   0.000000000000000 -0.122432675451018 0.550947039529582 0.0000000000 0.000000000000000 3.000000000000000 -0.001315905782717 0.024379721020549 0.0000000000 1.652841118588746 5.000000000000000 -0.002984337683383 0.016484286324246 0.0817280147 1.739832756409206 7.000000000000000 0.003859598868607 -0.001421739776050 0.1118531078 1.945351229618313 9.000000000000000 -0.008052927513203 0.021735853435593 0.1524813351 2.194247277034938 11.000000000000000 0.012878814621315 -0.026581711643628 0.1427896187 2.521729940881822 13.000000000000000 -0.016104098242179 0.050691176084262 0.1910085476 2.804012848655832 15.000000000000000 0.020225223235538 -0.045933413368810 0.2005240730 3.259961862195988 17.000000000000000 -0.015938840040316 0.075417926044420 0.2594930984 3.639078140607402 19.000000000000000 0.004276274157158 -0.020215114197473 0.3698987220 4.332225321167346 21.000000000000000 -0.001166256588316 0.005442530745474 0.3403535551 5.025372501727292 23.000000000000000 0.000388752196105 -0.001555008784421 0.3481285991 5.718519682287237 25.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.411666862847183 10000.000000000000000
HH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HN   0.000000000000000 -0.135686130257929 0.610587586160678 0.0000000000 0.000000000000000 3.000000000000000 -0.006632874517019 0.037367890593013 0.0000000000 1.831762758482035 5.000000000000000 0.000524324007374 -0.002429356509104 0.0698770682 1.928171324717932 7.000000000000000 0.015024615379851 0.000716587535141 0.0664515302 2.062402627076148 9.000000000000000 -0.015377056612435 0.090864279814246 0.2496132649 2.318368960695308 11.000000000000000 -0.003950035501537 -0.001398059860367 0.4285457048 3.058036156890146 13.000000000000000 0.005304274163161 -0.025098272869592 0.3755530394 3.877935043089235 15.000000000000000 -0.001423097946214 0.006727372109375 0.3388112378 4.571082223649180 17.000000000000000 0.000388117621695 -0.001811215567909 0.3486435509 5.264229404209125 19.000000000000000 -0.000129372540565 0.000517490162260 0.3460561001 5.957376584769071 21.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.650523765329016 10000.000000000000000
HCA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HO   0.000000000000000 -0.151347710678206 0.681064698051927 0.0000000000 0.000000000000000 3.000000000000000 -0.009277580445012 0.031997227298944 0.0000000000 2.043194094155781 5.000000000000000 0.014390674926117 -0.023668255371129 0.0166579439 2.096962359791459 7.000000000000000 -0.017184816845724 0.062675794185573 0.0946730215 2.150730625427138 9.000000000000000 0.005252583196936 -0.040433106888772 0.1391583961 2.453301310372670 11.000000000000000 0.015581941731436 -0.008917607707155 0.0404569669 2.611906340549308 13.000000000000000 -0.022854917957863 0.084574042681461 0.1917698368 2.781805377344705 15.000000000000000 0.019107893550970 -0.052555465065719 0.2558069921 3.320801878077393 17.000000000000000 -0.013122514153835 0.062091896240099 0.2748798544 3.775057150354988 19.000000000000000 0.003520674529078 -0.016643188682913 0.3657772695 4.468204330914934 21.000000000000000 -0.000960183962476 0.004480858491554 0.3414526091 5.161351511474879 23.000000000000000 0.000320061320825 -0.001280245283301 0.3478538356 5.854498692034825 25.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.547645872594770 10000.000000000000000
HCB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HCG  0.000000000000000 -0.000269635079547 0.000808905238641 -0.2594032064 1.447468584489044 3.000000000000000 0.013631468770889 -0.001617810477281 -0.2618299221 0.669258965385250 5.000000000000000 -0.020755645950326 0.080171002148055 -0.1047235387 0.248179629475535 7.000000000000000 0.012193443649199 -0.044362873553900 -0.0331072816 0.193371392980540 9.000000000000000 -0.004246141782165 0.028797788341295 -0.0642374520 0.047252884850545 11.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HCD  0.000000000000000 0.004310877652752 -0.012932632958255 -0.2025184167 1.124320645378317 3.000000000000000 -0.001588647940754 0.025865265916509 -0.1637205179 0.516765395153775 5.000000000000000 -0.003432288886352 0.016333378271984 -0.0793232295 0.280076239560280 7.000000000000000 0.002189460876280 -0.004260355046126 -0.0551771830 0.159304982577880 9.000000000000000 0.000869952655082 0.008876410211551 -0.0459450727 0.049424883327523 11.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HND  0.000000000000000 -0.083812375276285 0.377155688743282 0.0000000000 0.000000000000000 3.000000000000000 -0.000804700103768 0.016497124763191 0.0000000000 1.131467066229846 5.000000000000000 -0.005965738443472 0.011668924140585 0.0563320978 1.191017964452469 7.000000000000000 0.012799186517089 -0.024125506520247 0.0314189330 1.302631949082137 9.000000000000000 -0.019077577311786 0.052669612582288 0.0885071452 1.371361281234318 11.000000000000000 0.019089751016884 -0.061795851288429 0.0702546678 1.606433403413802 13.000000000000000 -0.002352599802993 0.052742654812872 0.0521482748 1.652477341915209 15.000000000000000 0.001756915904540 0.038627055994914 0.2348876964 1.948923712360578 17.000000000000000 -0.016766389894340 0.049168551422157 0.4104789113 2.587262656425528 19.000000000000000 0.010869181988140 -0.051429787943882 0.4059564382 3.470763565476692 21.000000000000000 -0.002916121996818 0.013785303984958 0.3306674703 4.163910746036637 23.000000000000000 0.000795305999132 -0.003711427995950 0.3508152223 4.857057926596583 25.000000000000000 -0.000265101999711 0.001060407998843 0.3455131823 5.550205107156528 27.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.243352287716474 10000.000000000000000
HHD  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
HCE  0.000000000000000 0.005220854931132 -0.015662564793396 -0.1682969627 0.725173207279354 3.000000000000000 -0.002416687696358 0.031325129586792 -0.1213092684 0.220282319033178 5.000000000000000 -0.005616692526222 0.016825003408647 -0.0250090024 0.083630799072412 7.000000000000000 0.007717492171040 -0.016875151748686 -0.0251092991 0.055979267741901 9.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
